Position,"Track Name",Artist,Streams,URL
170,Levitating,"Dua Lipa",5557323,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
171,"Nota de Repúdio - Ao Vivo","Gusttavo Lima",5548408,https://open.spotify.com/track/3agFBAMPiIvzfTh7a9Udm6
172,"bad guy","Billie Eilish",5513652,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
173,"All of Me","John Legend",5512197,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
174,"No Role Modelz","J. Cole",5498220,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
175,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",5496008,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
176,"we fell in love in october","girl in red",5486917,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
177,masquerade,Siouxxie,5481667,https://open.spotify.com/track/64EA2RKyciBwCuVczLH6Ct
178,Unfollow,Duki,5473397,https://open.spotify.com/track/6GsD646HrIDJJpzoY9T1Rt
179,"Every Breath You Take","The Police",5437312,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
180,"Have Mercy",Chlöe,5436232,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
181,"She Knows (feat. Amber Coffman & Cults)","J. Cole",5411243,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
182,"Jocelyn Flores",XXXTENTACION,5404292,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
183,"Venom - Music From The Motion Picture",Eminem,5397639,https://open.spotify.com/track/2SL6oP2YAEQbqsrkOzRGO4
184,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick",5371354,https://open.spotify.com/track/4yNoUQkYf1QF8iYlEzNynH
185,Thunder,"Gabry Ponte",5370743,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
186,"911 - Remix",Sech,5309072,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
187,Present,Khalid,5307552,https://open.spotify.com/track/6RBfz4bNLNzvt37HycN1Xf
188,"Wake Me Up",Avicii,5303292,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
189,"Chasing Pavements",Adele,5283044,https://open.spotify.com/track/0Z5ok0QLLttAKsujOZYOXf
190,"7 rings","Ariana Grande",5277739,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
191,MAMMAMIA,Måneskin,5264512,https://open.spotify.com/track/78SCmQ8A7KQSMdkem2SwBP
192,Photograph,"Ed Sheeran",5256629,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
193,"All I Ask",Adele,5254943,https://open.spotify.com/track/6DEMMeWXfmFAXgDUMMzeg6
194,"Head & Heart (feat. MNEK)","Joel Corry",5245756,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
195,LOCO,ITZY,5242336,https://open.spotify.com/track/59c0HrzmHfyQs6LgDw5cHe
196,"Something Just Like This","The Chainsmokers",5228446,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
197,"Blank Space","Taylor Swift",5226473,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
198,"Livin It Up (with Post Malone & A$AP Rocky)","Young Thug",5223949,https://open.spotify.com/track/7zjEyeBsaw9gV0jofJLfOM
199,"double take",dhruv,5198900,https://open.spotify.com/track/47isJpIIO8m7BJEhiFhnaf
200,"The Hills","The Weeknd",5192531,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
